Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,part_of_day
1900-01-01 19:08:00,Tuesday,18-30,Male,Primary education,Employee,5-10yr,Small Truck,Owner,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,3,3,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,External Factors,Malam
1900-01-01 11:50:00,Sunday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,O Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 18:56:00,Thursday,31-50,Male,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,4,5,Moving forward,Pedestrian,Female,Over 51,3,Employee,Normal,Not a Pedestrian,Violation,Sore
1900-01-01 08:35:00,Thursday,31-50,Male,Secondary education,Employee,2-5yr,Car,Organization,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Hilly Road,No junction,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 19:30:00,Tuesday,18-30,Female,Secondary education,Employee,5-10yr,Medium Truck,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 14:15:00,Friday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Junction movement,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Vehicle Issues,Siang
1900-01-01 17:10:00,Tuesday,31-50,Male,Secondary education,Employee,Below 1yr,Non-Motorized,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Clear,Collision with pedestrians,3,4,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 17:10:00,Thursday,31-50,Male,Secondary education,Employee,1-2yr,Car,Owner,New Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Vehicle Issues,Sore
1900-01-01 11:29:00,Saturday,18-30,Male,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Residential areas,Double carriageway (median),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Rollover,2,3,Moving forward,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 14:00:00,Friday,31-50,Male,Secondary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Passenger,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 15:10:00,Wednesday,31-50,Male,Primary education,Owner,Above 10yr,Car,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Female,18-30,3,Other,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 00:10:00,Sunday,18-30,Male,Primary education,Employee,5-10yr,Large Truck,Owner,New Vehicle,Commercial areas,other,Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,3,Moving forward,Pedestrian,Male,Over 51,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Human Error,Malam
1900-01-01 15:18:00,Monday,31-50,Male,Primary education,Employee,1-2yr,Large Truck,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 15:10:00,Thursday,18-30,Male,Secondary education,Employee,Above 10yr,Large Truck,Governmental,New Vehicle,Residential areas,other,Steep Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Other,Pedestrian,Female,Over 51,2,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 19:20:00,Sunday,31-50,Male,Secondary education,Employee,5-10yr,Small Truck,Governmental,New Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 07:40:00,Wednesday,31-50,Male,Secondary education,Owner,5-10yr,Small Truck,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 14:20:00,Tuesday,Under 18,Male,Secondary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Public service areas,other,Flat Road,Y Shape,Earth roads,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 15:58:00,Wednesday,31-50,Male,Secondary education,Employee,2-5yr,Small Truck,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 06:28:00,Wednesday,31-50,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Violation,Pagi
1900-01-01 11:10:00,Sunday,18-30,Male,Secondary education,Employee,1-2yr,Large Truck,Owner,Moderate Vehicle,Other,Two-way (divided with solid lines road marking),Flat Road,No junction,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,3,2,Moving forward,Pedestrian,Female,18-30,2,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 14:38:00,Tuesday,18-30,Female,Secondary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Public service areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,4,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 03:55:00,Monday,18-30,Male,Secondary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Wet or damp,Moderate lighting,Rainy,Vehicle with vehicle collision,2,2,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Vehicle Issues,Malam
1900-01-01 08:27:00,Wednesday,18-30,Male,Secondary education,Employee,5-10yr,Medium Bus,Organization,Moderate Vehicle,Recreational areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Collision with animals,6,2,Moving forward,Driver or rider,Male,Under 18,2,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 15:50:00,Saturday,31-50,Male,Secondary education,Employee,No Licence,Two-Wheeler,Owner,Old Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,3,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 09:10:00,Tuesday,31-50,Male,Secondary education,Employee,Below 1yr,Car,Owner,Moderate Vehicle,Other,Double carriageway (median),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Rollover,1,1,Junction movement,Driver or rider,Male,18-30,3,Employee,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 13:07:00,Sunday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Wet or damp,Good lighting,Rainy,Collision with pedestrians,2,2,Moving backward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 14:00:00,Sunday,Under 18,Male,Secondary education,Owner,Below 1yr,Special Vehicle,Owner,Old Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,Other,Earth roads,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,4,2,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 07:10:00,Tuesday,18-30,Male,Primary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Other,One way,Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 17:00:00,Tuesday,18-30,Female,Secondary education,Employee,5-10yr,Car,Owner,Old Vehicle,Public service areas,other,Flat Road,Crossing,Asphalt,Wet or damp,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 18:15:00,Wednesday,18-30,Male,Secondary education,Employee,1-2yr,Car,Owner,Moderate Vehicle,Recreational areas,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 22:05:00,Monday,18-30,Male,Primary education,Owner,2-5yr,Special Vehicle,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,1,2,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 08:31:00,Monday,Under 18,Male,Low education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,Y Shape,Earth roads,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 06:10:00,Friday,Over 51,Male,Secondary education,Employee,1-2yr,Car,Owner,Moderate Vehicle,Public service areas,other,Flat Road,Unknown,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Pedestrian,Female,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 20:08:00,Sunday,18-30,Male,Primary education,Owner,5-10yr,Car,Owner,Old Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Collision with pedestrians,2,2,Other,Passenger,Female,Over 51,3,Employee,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 18:38:00,Saturday,18-30,Female,Primary education,Employee,5-10yr,Small Bus,Owner,Moderate Vehicle,Residential areas,Double carriageway (median),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Collision with roadside objects,1,1,Moving forward,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from driver's nearside,Human Error,Sore
1900-01-01 20:30:00,Wednesday,18-30,Male,Secondary education,Employee,5-10yr,Small Truck,Governmental,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 08:50:00,Monday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,O Shape,Asphalt,Wet or damp,Good lighting,Rainy,Collision with roadside-parked vehicles,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 00:45:00,Thursday,Over 51,Male,Secondary education,Employee,2-5yr,Large Truck,Owner,Old Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Wet or damp,Poor lighting,Other,Vehicle with vehicle collision,2,1,Other,Passenger,Male,31-50,3,Other,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 10:10:00,Thursday,18-30,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Recreational areas,Two-way (divided with broken lines road marking),Hilly Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with pedestrians,2,1,Moving backward,Driver or rider,Male,18-30,na,Other,Normal,Not a Pedestrian,Vehicle Issues,Pagi
1900-01-01 07:30:00,Wednesday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Public service areas,One way,Flat Road,Crossing,Asphalt,Wet or damp,Moderate lighting,Windy,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 17:40:00,Friday,18-30,Male,Secondary education,Employee,Below 1yr,Large Truck,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,No junction,Other,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 20:50:00,Friday,Over 51,Male,Secondary education,Employee,2-5yr,Car,Governmental,Old Vehicle,Residential areas,other,Flat Road,Y Shape,Asphalt,Dry,Moderate lighting,Clear,Collision with roadside objects,1,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 17:50:00,Thursday,18-30,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Public service areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,2,Moving backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 19:00:00,Thursday,31-50,Male,Secondary education,Employee,Below 1yr,Car,Organization,Old Vehicle,Recreational areas,Undivided Two way,Flat Road,Crossing,Asphalt,Wet or damp,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 05:55:00,Thursday,31-50,Male,Secondary education,Employee,Above 10yr,Large Truck,Owner,Moderate Vehicle,Residential areas,Double carriageway (median),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,2,Other,Pedestrian,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 11:30:00,Wednesday,Over 51,Male,Secondary education,Owner,Above 10yr,Large Truck,Owner,Moderate Vehicle,Public service areas,Double carriageway (median),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 18:10:00,Wednesday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,2,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 16:00:00,Friday,18-30,Male,Secondary education,Employee,2-5yr,Small Truck,Governmental,New Vehicle,Residential areas,Undivided Two way,Flat Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Pedestrian,Female,31-50,3,Self-employed,Normal,Crossing from driver's nearside,Human Error,Sore
1900-01-01 18:50:00,Thursday,Under 18,Male,Secondary education,Employee,Below 1yr,Large Truck,Owner,Moderate Vehicle,Residential areas,One way,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with animals,2,1,Moving forward,Pedestrian,Female,Over 51,2,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 05:15:00,Wednesday,31-50,Male,Secondary education,Employee,1-2yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 07:00:00,Thursday,18-30,Male,Secondary education,Owner,5-10yr,Large Truck,Governmental,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,31-50,2,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 18:09:00,Monday,Over 51,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Crossing,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,2,Moving forward,Pedestrian,Female,31-50,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Human Error,Sore
1900-01-01 12:17:00,Thursday,31-50,Male,Secondary education,Employee,Below 1yr,Car,Owner,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,2,Moving forward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 04:48:00,Wednesday,31-50,Male,Secondary education,Employee,Above 10yr,Car,Owner,New Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 02:49:00,Sunday,18-30,Male,Secondary education,Employee,Below 1yr,Small Bus,Owner,Moderate Vehicle,Commercial areas,One way,Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 09:32:00,Sunday,18-30,Male,Secondary education,Employee,1-2yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 13:00:00,Saturday,18-30,Male,Secondary education,Employee,Above 10yr,Small Bus,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 07:30:00,Tuesday,18-30,Male,Secondary education,Employee,Below 1yr,Car,Governmental,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with pedestrians,2,1,Moving forward,Pedestrian,Male,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Human Error,Pagi
1900-01-01 18:56:00,Monday,18-30,Female,Secondary education,Employee,2-5yr,Medium Truck,Owner,Moderate Vehicle,Other,Undivided Two way,Flat Road,Y Shape,Asphalt,Wet or damp,Good lighting,Rainy,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 17:23:00,Tuesday,31-50,Male,Secondary education,Employee,1-2yr,Three-Wheeler,Owner,Old Vehicle,Residential areas,other,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 09:10:00,Monday,31-50,Male,Secondary education,Employee,No Licence,Car,Owner,Moderate Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,3,Employee,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 17:35:00,Wednesday,18-30,Male,Primary education,Employee,5-10yr,Car,Owner,Old Vehicle,Residential areas,Two-way (divided with broken lines road marking),Flat Road,No junction,Asphalt,Wet or damp,Moderate lighting,Rainy,Vehicle with vehicle collision,2,3,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 09:18:00,Saturday,31-50,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Hilly Road,Crossing,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Stopping,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 13:50:00,Wednesday,18-30,Male,Secondary education,Employee,Above 10yr,Medium Truck,Owner,Moderate Vehicle,Residential areas,other,Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Collision with roadside objects,2,1,Moving forward,Pedestrian,Female,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Human Error,Siang
1900-01-01 19:51:00,Thursday,31-50,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Other,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 08:05:00,Friday,18-30,Male,Higher education,Employee,5-10yr,Small Bus,Owner,Moderate Vehicle,Other,Two-way (divided with broken lines road marking),Flat Road,O Shape,Gravel roads,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 23:07:00,Thursday,18-30,Female,Secondary education,Employee,2-5yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,One way,Flat Road,Crossing,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Human Error,Malam
1900-01-01 17:35:00,Thursday,18-30,Male,Higher education,Employee,5-10yr,Medium Truck,Owner,New Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Stopping,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 16:58:00,Thursday,Over 51,Male,Secondary education,Employee,1-2yr,Car,Governmental,Moderate Vehicle,Commercial areas,One way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,3,1,Moving forward,Passenger,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 15:15:00,Wednesday,31-50,Male,Secondary education,Employee,5-10yr,Large Bus,Owner,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Gravel roads,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Passenger,Female,18-30,2,Driver,Normal,Not a Pedestrian,Violation,Sore
1900-01-01 00:10:00,Saturday,18-30,Male,Secondary education,Employee,5-10yr,Large Truck,Owner,Moderate Vehicle,Residential areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,3,3,Moving forward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Vehicle Issues,Malam
1900-01-01 09:45:00,Monday,Over 51,Male,Primary education,Employee,2-5yr,Car,Owner,Moderate Vehicle,Public service areas,Two-way (divided with broken lines road marking),Flat Road,Unknown,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,2,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Pagi
1900-01-01 15:30:00,Friday,18-30,Female,Secondary education,Owner,Above 10yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,No junction,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,1,1,Moving forward,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 09:50:00,Friday,18-30,Male,Secondary education,Owner,5-10yr,Car,Owner,Old Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving forward,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,External Factors,Pagi
1900-01-01 03:56:00,Sunday,31-50,Male,Secondary education,Employee,2-5yr,Small Truck,Owner,Moderate Vehicle,Commercial areas,Double carriageway (median),Flat Road,Crossing,Asphalt,Dry,Moderate lighting,Clear,Vehicle with vehicle collision,2,1,Other,Pedestrian,Male,Under 18,3,Employee,Normal,Unknown or other,Human Error,Malam
1900-01-01 16:06:00,Saturday,31-50,Male,Primary education,Employee,Above 10yr,Large Truck,Owner,Moderate Vehicle,Commercial areas,Two-way (divided with broken lines road marking),Flat Road,Y Shape,Asphalt,Dry,Good lighting,Clear,Vehicle with vehicle collision,2,1,Stopping,Driver or rider,Male,18-30,na,Employee,Normal,Not a Pedestrian,Human Error,Sore
1900-01-01 11:10:00,Sunday,18-30,Male,Secondary education,Employee,5-10yr,Car,Owner,Moderate Vehicle,Public service areas,Undivided Two way,Flat Road,No junction,Asphalt,Wet or damp,Moderate lighting,Other,Collision with roadside objects,1,1,Moving forward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
1900-01-01 13:00:00,Sunday,Over 51,Male,Secondary education,Employee,Above 10yr,Car,Owner,Moderate Vehicle,Commercial areas,Undivided Two way,Flat Road,Crossing,Asphalt,Wet or damp,Good lighting,Clear,Vehicle with vehicle collision,2,1,Moving backward,Driver or rider,Male,18-30,na,Driver,Normal,Not a Pedestrian,Human Error,Siang
