Time,Day,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
17:00:00,Monday,31-50,Unknown,Junior high school,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Other,Normal,Not a Pedestrian,No distancing,Slight Injury
16:00:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Above 10yr, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
16:00:00,Sunday,Under 18,Male,High school,Employee,1-2yr,Public (> 45 seats),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Unknown,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
15:00:00,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward,Serious Injury
15:00:00,Tuesday,Under 18,Male,Elementary school,Employee,2-5yr,Pick up upto 10 Quintal,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
20:00:00,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Stopping,Female,Under 18,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
20:00:00,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
07:00:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr, Church areas,Undivided Two way,Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
07:00:00,Wednesday,Under 18,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Above 10yr,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
19:00:00,Sunday,Over 51,Male,Elementary school,Employee,1-2yr,Stationwagen,Owner,5-10yrs,Other,Double carriageway (median),Gentle horizontal curve,O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,1,1,Moving backward,Male,18-30,2,,,Not a Pedestrian,Driving carelessly,Slight Injury
06:00:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10 Quintal,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights unlit,Raining,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
06:00:00,Wednesday,Under 18,Male,Elementary school,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner,5-10yrs, Church areas,Unknown,Tangent road with mountainous terrain and,Y Shape,Asphalt roads with some distress,Wet or damp,Darkness - lights unlit,Raining,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
12:00:00,Friday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,1-2yr,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,3,2,Unknown,Female,31-50,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
12:00:00,Friday,18-30,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving forward,Female,Under 18,2,,,Not a Pedestrian,Turnover,Slight Injury
12:00:00,Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner,Above 10yr,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving backward,Male,18-30,2,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18:00:00,Tuesday,31-50,Male,Elementary school,Owner,2-5yr,Lorry (41 - 100 Quintal),Owner,2-5yrs,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving at high speed,Serious Injury
18:00:00,Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving backward,Female,Over 51,3,,,Not a Pedestrian,No distancing,Serious Injury
11:00:00,Sunday,Under 18,Male,Junior high school,Employee,Below 1yr,Pick up upto 10 Quintal,Governmental,1-2yr,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Female,31-50,3,,,Not a Pedestrian,No distancing,Slight Injury
11:00:00,Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Pick up upto 10 Quintal,Governmental,Above 10yr,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:00:00,Saturday,18-30,Male,High school,Employee,Above 10yr,Automobile,Organization,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Unknown,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:00:00,Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Other,Organization,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,2,,,Not a Pedestrian,Moving Backward,Slight Injury
08:00:00,Friday,31-50,Unknown,Elementary school,Employee,1-2yr,Automobile,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving forward,Female,18-30,3,Driver,,Not a Pedestrian,No distancing,Serious Injury
08:00:00,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Raining,Vehicle Collision,1,1,Moving forward,Male,18-30,2,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
23:00:00,Friday,18-30,Male,Elementary school,Employee,1-2yr,Motorcycle,Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Turning,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
23:00:00,Friday,31-50,Male,Junior high school,Owner,1-2yr,Automobile,Owner,2-5yrs, Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
22:00:00,Sunday,18-30,Male,Above high school,Owner,1-2yr,Automobile,Owner,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,5,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
22:00:00,Sunday,18-30,Male,Junior high school,Owner,5-10yr,Public (12 seats),Owner,Above 10yr,  Market areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,5,Moving forward,Female,Under 18,3,,,Not a Pedestrian,Moving Backward,Slight Injury
22:00:00,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,5,Moving backward,na,na,na,Driver,,Not a Pedestrian,No distancing,Slight Injury
22:00:00,Sunday,Over 51,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,5,Exiting,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
22:00:00,Sunday,Over 51,Male,High school,Owner,Below 1yr,Automobile,Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,2,5,Moving forward,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17:00:00,Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Governmental,1-2yr,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Exiting,na,na,na,Employee,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
17:00:00,Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Pick up upto 10 Quintal,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
17:00:00,Tuesday,Unknown,Female,Junior high school,Employee,Below 1yr,Lorry (41 - 100 Quintal),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,3,1,Moving forward,na,na,na,Other,Normal,Not a Pedestrian,No distancing,Slight Injury
14:00:00,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,2,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
14:00:00,Sunday,Under 18,Male,Junior high school,Employee,5-10yr,Public (13 - 45 seats),Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Over 51,2,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
06:00:00,Friday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Unknown,  Recreational areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
06:00:00,Friday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Driving to the left,Serious Injury
22:00:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Public (12 seats),Organization,1-2yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Wet or damp,Darkness - lights lit,Raining,Stationary Object Collision,2,1,Moving forward,Female,18-30,3,,,Not a Pedestrian,Driving at high speed,Slight Injury
22:00:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
19:00:00,Tuesday,Over 51,Male,Junior high school,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
19:00:00,Tuesday,31-50,Male,High school,Employee,2-5yr,Automobile,Owner,1-2yr,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving backward,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
18:00:00,Wednesday,18-30,Unknown,High school,Owner,Above 10yr,Pick up upto 10 Quintal,Owner,Unknown, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
17:00:00,Sunday,31-50,Male,Elementary school,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,18-30,3,,,Not a Pedestrian,Moving Backward,Slight Injury
17:00:00,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
17:00:00,Thursday,31-50,Male,High school,Employee,2-5yr,Automobile,Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Stationary Object Collision,2,3,Moving forward,Male,18-30,3,,,Not a Pedestrian,Moving Backward,Slight Injury
17:00:00,Thursday,31-50,Male,Junior high school,Other,No Licence,Automobile,Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,3,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
17:00:00,Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Self-accident,2,3,Moving forward,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
17:00:00,Friday,18-30,Male,Junior high school,Owner,5-10yr,Other,Owner,1-2yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
17:00:00,Friday,Under 18,Male,Junior high school,Employee,1-2yr,Other,Governmental,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,Female,31-50,2,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
08:00:00,Monday,Unknown,Female,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Vehicle Collision,1,1,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
13:00:00,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Public (13 - 45 seats),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:00:00,Tuesday,Under 18,Male,Junior high school,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Unknown, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
23:00:00,Friday,Unknown,Female,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Pedestrian Collision,3,1,Moving forward,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
23:00:00,Friday,18-30,Male,High school,Employee,1-2yr,Automobile,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Self-accident,3,1,Moving forward,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
23:00:00,Friday,18-30,Female,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,3,1,Moving forward,Male,18-30,2,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
20:00:00,Tuesday,31-50,Male,Elementary school,Employee,Above 10yr,Stationwagen,Owner,Unknown,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,2,1,Moving forward,Female,Under 18,3,Self-employed,Normal,Crossing from driver's nearside,No distancing,Slight Injury
20:00:00,Tuesday,18-30,Unknown,Junior high school,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Unknown,2,1,Moving forward,Male,Under 18,2,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
10:00:00,Friday,31-50,Male,Elementary school,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
16:00:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving backward,Female,Over 51,2,,,Unknown or other,Changing lane to the right,Slight Injury
16:00:00,Monday,Over 51,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Self-accident,2,2,Moving forward,Female,31-50,2,Student,Normal,"Walking along in carriageway, facing traffic",Driving under the influence of drugs,Slight Injury
16:00:00,Monday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18:00:00,Sunday,Over 51,Male,High school,Owner,2-5yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Stationary Object Collision,2,5,Moving forward,Male,31-50,3,,,Not a Pedestrian,Changing lane to the left,Slight Injury
18:00:00,Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,5,Unknown,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
18:00:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,5-10yrs, Church areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,5,Moving forward,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
18:00:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,5,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
18:00:00,Sunday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Pedestrian Collision,2,5,Moving forward,Male,18-30,3,,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
15:00:00,Thursday,Unknown,Female,High school,Employee,Above 10yr,Automobile,Owner,1-2yr,Other,,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
15:00:00,Thursday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,5-10yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,Male,18-30,2,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
15:00:00,Friday,Under 18,Male,Junior high school,Employee,Above 10yr,Special vehicle,Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Unknown,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
15:00:00,Friday,Over 51,Male,Writing & reading,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,1-2yr,Other,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Self-accident,2,1,Unknown,na,na,na,,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
07:00:00,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,2-5yrs,Office areas,One way,Steep grade downward with mountainous terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Normal,Stationary Object Collision,2,1,Moving backward,Male,18-30,3,,Normal,Not a Pedestrian,Moving Backward,Serious Injury
07:00:00,Thursday,31-50,Male,High school,Employee,2-5yr,Public (> 45 seats),Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,31-50,2,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Serious Injury
17:00:00,Monday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,Female,18-30,2,Self-employed,Normal,Crossing from driver's nearside,No priority to pedestrian,Serious Injury
15:00:00,Monday,31-50,Male,High school,Employee,5-10yr,Automobile,Organization,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Cloudy,Stationary Object Collision,1,1,Turning,Male,Under 18,3,,Normal,Crossing from driver's nearside,Changing lane to the left,Slight Injury
09:00:00,Monday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving backward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
09:00:00,Monday,Over 51,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Governmental,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving backward,Male,31-50,3,Other,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
09:00:00,Monday,Unknown,Female,Elementary school,Employee,1-2yr,Lorry (11 - 40 Quintal),Owner,Unknown,Office areas,One way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving backward,Male,31-50,3,Employee,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
10:00:00,Friday,18-30,Male,High school,Employee,No Licence,Pick up upto 10 Quintal,Governmental,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Self-accident,1,1,Moving backward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
08:00:00,Thursday,Over 51,Male,Junior high school,Owner,5-10yr,Lorry (11 - 40 Quintal),Owner,Unknown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Self-accident,1,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
13:00:00,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10 Quintal,Owner,Unknown, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Pedestrian Collision,2,1,Moving forward,Male,18-30,3,Employee,Normal,Not a Pedestrian,No priority to vehicle,Serious Injury
13:00:00,Thursday,Under 18,Male,Junior high school,Employee,2-5yr,Special vehicle,Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Unknown,2,1,Moving forward,Male,31-50,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
