Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity
Late Night,Dewasa,Male,Employee,2-5yr,Private Vehicle,Governmental,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Evening,Lansia,Male,Employee,Below 1yr,Other,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Exiting,3,Reckless Driving,Slight Injury
Morning,Unknwon,Female,Employee,Below 1yr,,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Owner,5-10yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Other,2,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Other,Owner,Public,Other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Afternoon,Unknwon,Female,Employee,1-2yr,Private Vehicle,Owner,Other,Other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,3,Reckless Driving,Slight Injury
Afternoon,Unknwon,Male,Employee,5-10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Afternoon,Unknwon,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Late Night,Unknwon,Female,Employee,1-2yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Owner,5-10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Owner,Above 10yr,Commercial Vehicle,Owner,Other,Divided Road (Median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Evening,Dewasa,Male,Owner,Below 1yr,,Owner,Public,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Serious Injury
Morning,Dewasa,Male,Owner,5-10yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Employee,Below 1yr,Private Vehicle,Owner,Other,Other,Tangent road with mountainous terrain and,Y Shape,Earth roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,1,2,Moving forward,3,Moving Backward,Serious Injury
Evening,Dewasa,Male,Employee,1-2yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,1,2,Moving backward,3,Unsafe Lane Change,Serious Injury
Late Night,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving backward,2,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Owner,Above 10yr,Other,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Turning,3,Reckless Driving,Slight Injury
Late Night,Unknwon,Female,Employee,Above 10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Other,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,No Licence,,Owner,Urban,Other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Other,3,Unsafe Lane Change,Slight Injury
Evening,Unknwon,Female,Employee,1-2yr,Commercial Vehicle,Governmental,Public,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury
Evening,Dewasa,Male,Owner,1-2yr,Private Vehicle,Owner,Other,Other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Dewasa,Male,Owner,Below 1yr,Public Transport,Owner,Other,Other,Tangent road with rolling terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,2,1,Other,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Owner,1-2yr,Private Vehicle,Governmental,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,2,Unsafe Lane Change,Slight Injury
Afternoon,Unknwon,Female,Owner,2-5yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,2,Unsafe Lane Change,Slight Injury
Afternoon,Lansia,Male,Owner,5-10yr,Public Transport,Owner,Other,Other,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,1,1,Moving backward,3,Moving Backward,Serious Injury
Late Night,Dewasa,Male,Owner,Above 10yr,Private Vehicle,Governmental,Urban,Divided Road (Median),Tangent road with flat terrain,Unknown,Gravel roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,1,1,Other,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Owner,2-5yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Owner,Above 10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Morning,Dewasa,Male,Owner,5-10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Morning,Dewasa,Male,Owner,5-10yr,Commercial Vehicle,Organization,Public,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,2,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Owner,5-10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Owner,Below 1yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Morning,Dewasa,Male,Owner,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,2,Unsafe Driving,Slight Injury
Morning,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Evening,Dewasa,Male,Employee,2-5yr,Other,Owner,Urban,Divided Road (Median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Unknwon,Female,Employee,5-10yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Other,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Public Transport,Owner,Public,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Vehicle Collision,2,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,3,Speeding,Serious Injury
Morning,Dewasa,Male,Employee,Above 10yr,Public Transport,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Distance & Priority Violation,Serious Injury
Late Night,Dewasa,Male,Owner,5-10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,2,1,Other,2,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Owner,5-10yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Other,Wet or damp,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury
Evening,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving backward,3,Reckless Driving,Slight Injury
Evening,Dewasa,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Late Night,Unknwon,Female,Employee,5-10yr,Commercial Vehicle,Owner,Other,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,1,Other,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Private Vehicle,Governmental,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Other,3,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,3,Reckless Driving,Slight Injury
Morning,Lansia,Male,Employee,Above 10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Stopping,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,,Owner,Public,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Pedestrian Collision,2,1,Other,3,Reckless Driving,Serious Injury
Morning,Dewasa,Male,Employee,Above 10yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Other,Dry,Daylight,Unknown,Pedestrian Collision,2,1,Other,3,Moving Backward,Serious Injury
Morning,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Urban,Other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,3,1,Other,3,Distance & Priority Violation,Serious Injury
Morning,Lansia,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Morning,Dewasa,Male,Employee,Above 10yr,,Governmental,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,3,Distance & Priority Violation,Serious Injury
Evening,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Urban,Other,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Unknwon,Female,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Late Night,Unknwon,Female,Employee,Below 1yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,2,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,Below 1yr,Private Vehicle,Owner,Other,Divided Road (Median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,2,DUI (Drugs/Alcohol),Slight Injury
Morning,Dewasa,Male,Employee,2-5yr,Other,Owner,Urban,One Way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Morning,Unknwon,Female,Employee,Below 1yr,Commercial Vehicle,Governmental,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Lansia,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Driving,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Public,One Way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Speeding,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Reckless Driving,Slight Injury
Morning,Dewasa,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,2,Moving backward,3,Unsafe Lane Change,Serious Injury
Morning,Dewasa,Male,Employee,Below 1yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Train Collision,1,2,Moving forward,3,Unsafe Lane Change,Serious Injury
Afternoon,Dewasa,Male,Employee,1-2yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle Collision,1,1,Other,3,Moving Backward,Slight Injury
Afternoon,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,2,Moving Backward,Slight Injury
Afternoon,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Exiting,3,Unsafe Lane Change,Slight Injury
Afternoon,Dewasa,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,2,Moving forward,3,Moving Backward,Slight Injury
Afternoon,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,2,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,2-5yr,Public Transport,Owner,Public,Other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Unknown,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Unknwon,Female,Employee,2-5yr,Other,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,1,1,Turning,3,Unsafe Lane Change,Slight Injury
Morning,Unknwon,Female,Employee,2-5yr,Other,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Unknwon,Female,Employee,1-2yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,1,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Lansia,Male,Employee,5-10yr,Private Vehicle,Owner,Urban,Other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,1,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Employee,Below 1yr,Other,Owner,Urban,One Way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,1,1,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury
Late Night,Dewasa,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Other,3,Unsafe Lane Change,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Employee,Below 1yr,Commercial Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,1,1,Turning,3,Distance & Priority Violation,Slight Injury
Evening,Unknwon,Female,Employee,1-2yr,Public Transport,Owner,Urban,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Unsafe Lane Change,Serious Injury
Morning,Dewasa,Male,Employee,2-5yr,Commercial Vehicle,Owner,Rural,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Employee,1-2yr,Other,Owner,Rural,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Rural,Other,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury
Morning,Dewasa,Male,Employee,Below 1yr,,Governmental,Rural,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Public Transport,Owner,Rural,Other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,3,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Owner,5-10yr,Commercial Vehicle,Owner,Public,Other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Dewasa,Male,Employee,Below 1yr,Other,Owner,Rural,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Late Night,Unknwon,Male,Employee,5-10yr,Other,Owner,Rural,Other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Other,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Owner,5-10yr,Private Vehicle,Owner,Rural,Other,Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Morning,Unknwon,Unknown,Employee,2-5yr,Commercial Vehicle,Owner,Rural,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,2,Unsafe Lane Change,Slight Injury
Morning,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving forward,2,Reckless Driving,Slight Injury
Late Night,Dewasa,Male,Employee,5-10yr,Private Vehicle,Owner,Rural,Other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Pedestrian Collision,1,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Evening,Lansia,Male,Employee,1-2yr,,Owner,Rural,Other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,5-10yr,Other,Owner,Rural,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Moving Backward,Slight Injury
Morning,Dewasa,Male,Employee,2-5yr,Private Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Morning,Unknwon,Female,Employee,Below 1yr,Private Vehicle,Owner,Public,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,1,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,Below 1yr,Other,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury
Afternoon,Unknwon,Female,Employee,5-10yr,,Owner,Other,Other,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Unknown,Owner,5-10yr,Non-Motorized,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,2,Reckless Driving,Slight Injury
Morning,Dewasa,Unknown,Employee,1-2yr,,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,2,Moving forward,3,Distance & Priority Violation,Slight Injury
Morning,Dewasa,Male,Employee,5-10yr,Other,Owner,Urban,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,2,Moving forward,3,Unsafe Lane Change,Slight Injury
Evening,Dewasa,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury
Evening,Dewasa,Male,Owner,1-2yr,Commercial Vehicle,Owner,Urban,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Distance & Priority Violation,Slight Injury
Afternoon,Dewasa,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving backward,3,Distance & Priority Violation,Slight Injury
Late Night,Lansia,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Other,Tangent road with flat terrain,No junction,Other,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,2,Unsafe Lane Change,Serious Injury
