Time,Day,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
Afternoon,Wednesday,18-30,Male,Employee,5-10yr,Automobile,Owner,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Exiting,na,na,na,,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
Afternoon,Wednesday,Unknown,Male,Owner,Above 10yr,Other,Owner, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Over 51,3,,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Evening,Wednesday,31-50,Male,Employee,5-10yr,Automobile,Owner,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Male,18-30,3,,Normal,Not a Pedestrian,No distancing,Slight Injury
Morning,Wednesday,18-30,Male,Owner,5-10yr,Public (13 - 45 seats),Governmental,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,na,na,na,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
Morning,Wednesday,Unknown,Male,Owner,Above 10yr,Lorry (41 - 100 Quintal),Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,na,na,na,Self-employed,,Not a Pedestrian,Changing lane to the left,Slight Injury
Afternoon,Wednesday,18-30,Male,Owner,Above 10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving backward,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,Serious Injury
Afternoon,Wednesday,Unknown,Male,Employee,5-10yr,Automobile,Owner,Office areas,other,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving backward,Male,31-50,3,,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
Afternoon,Wednesday,Unknown,Male,Employee,5-10yr,Automobile,Owner,Rural village areasOffice areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Other,Female,31-50,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
Evening,Wednesday,31-50,Male,Owner,Above 10yr,Lorry (41 - 100 Quintal),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,Over 51,2,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Evening,Wednesday,Unknown,Male,Owner,Below 1yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,18-30,2,,,Not a Pedestrian,Moving Backward,Slight Injury
Night,Friday,18-30,Male,Owner,2-5yr,Lorry (41 - 100 Quintal),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,2,,,Not a Pedestrian,No priority to vehicle,Slight Injury
Night,Friday,18-30,Male,Owner,2-5yr,Taxi,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,2,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
Afternoon,Thursday,Unknown,Male,Owner,5-10yr,Lorry (41 - 100 Quintal),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,na,na,Other,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
Evening,Thursday,Over 51,Male,Owner,5-10yr,Lorry (41 - 100 Quintal),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,3,Employee,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
Evening,Thursday,Unknown,Male,Owner,Below 1yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
Evening,Thursday,31-50,Male,Owner,Above 10yr,Stationwagen,Owner,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Evening,Thursday,31-50,Male,Owner,Below 1yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
Morning,Wednesday,31-50,Male,Owner,5-10yr,Lorry (41 - 100 Quintal),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,3,1,Other,na,na,na,Other,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Morning,Wednesday,Under 18,Male,Owner,5-10yr,Lorry (41 - 100 Quintal),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,3,1,Moving backward,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
Morning,Wednesday,31-50,Male,Owner,5-10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,3,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Evening,Saturday,31-50,Male,Employee,1-2yr,Automobile,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Evening,Saturday,18-30,Male,Owner,5-10yr,Automobile,Owner,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Morning,Sunday,31-50,Male,Employee,5-10yr,Taxi,Owner,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving backward,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
Night,Monday,31-50,Male,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Evening,Monday,31-50,Male,Employee,5-10yr,Other,Owner, Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Evening,Monday,18-30,Male,Employee,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Night,Monday,31-50,Male,Employee,5-10yr,Public (> 45 seats),Owner,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Evening,Wednesday,18-30,Male,Employee,No Licence,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Over 51,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Evening,Wednesday,Unknown,Male,Employee,Below 1yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,Male,18-30,3,Other,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
Evening,Tuesday,31-50,Male,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Evening,Tuesday,31-50,Male,Employee,5-10yr,Other,Owner,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Female,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Evening,Tuesday,18-30,Male,Employee,5-10yr,Public (13 - 45 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving backward,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Evening,Tuesday,18-30,Male,Employee,5-10yr,Other,Owner,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Male,Over 51,2,Driver,Normal,Unknown or other,No priority to vehicle,Slight Injury
Morning,Wednesday,31-50,Male,Employee,5-10yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
Morning,Wednesday,18-30,Male,Employee,2-5yr,Ridden horse,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Afternoon,Saturday,Unknown,Male,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Male,18-30,3,Other,Normal,Not a Pedestrian,No distancing,Slight Injury
Evening,Saturday,18-30,Male,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,3,,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
Evening,Saturday,18-30,Male,Employee,1-2yr,Pick up upto 10 Quintal,Owner,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Afternoon,Friday,18-30,Male,Employee,Below 1yr,Lorry (11 - 40 Quintal),Owner,Residential areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Morning,Friday,31-50,Male,Employee,1-2yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Self-accident,1,1,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Evening,Friday,18-30,Male,Employee,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Evening,Friday,Unknown,Female,Employee,1-2yr,Lorry (11 - 40 Quintal),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Afternoon,Friday,31-50,Male,Owner,5-10yr,Motorcycle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Afternoon,Friday,31-50,Male,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Female,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving under the influence of drugs,Slight Injury
Morning,Thursday,18-30,Male,Owner,Below 1yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,3,,,Not a Pedestrian,Changing lane to the left,Serious Injury
Morning,Thursday,Unknown,Male,Employee,5-10yr,Automobile,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury
Morning,Tuesday,31-50,Male,Employee,5-10yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Overloading,Slight Injury
Afternoon,Tuesday,31-50,Male,Employee,5-10yr,Other,Organization,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Afternoon,Tuesday,18-30,Male,Employee,2-5yr,Taxi,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,Male,18-30,3,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
Morning,Tuesday,18-30,Male,Employee,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,Under 18,3,,,Not a Pedestrian,No distancing,Slight Injury
Morning,Tuesday,18-30,Male,Employee,5-10yr,Long lorry,Owner, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,Female,18-30,3,Unknown,Normal,Not a Pedestrian,Overturning,Slight Injury
Evening,Tuesday,18-30,Male,Employee,Above 10yr,Long lorry,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Female,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury
Evening,Wednesday,18-30,Male,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,31-50,2,,,Not a Pedestrian,No priority to pedestrian,Slight Injury
Evening,Wednesday,18-30,Male,Employee,Below 1yr,Lorry (41 - 100 Quintal),Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Night,Thursday,18-30,Male,Employee,Below 1yr,Lorry (11 - 40 Quintal),Owner,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,Male,Under 18,3,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Night,Thursday,18-30,Male,Owner,5-10yr,Automobile,Owner, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,na,na,na,Other,Normal,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
Night,Thursday,Unknown,Female,Employee,2-5yr,Taxi,Governmental,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,Male,Under 18,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury
Morning,Sunday,18-30,Male,Employee,Below 1yr,Other,Owner, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Morning,Sunday,31-50,Male,Employee,2-5yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
Evening,Thursday,18-30,Male,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
Morning,Saturday,18-30,Male,Employee,Above 10yr,Automobile,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,Under 18,3,,,Crossing from driver's nearside,No distancing,Slight Injury
Morning,Saturday,Over 51,Male,Employee,Above 10yr,Automobile,Owner,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,31-50,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
Afternoon,Sunday,31-50,Male,Employee,5-10yr,Public (> 45 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
Afternoon,Sunday,31-50,Male,Employee,1-2yr,Lorry (11 - 40 Quintal),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,na,na,na,Other,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Afternoon,Sunday,Unknown,Female,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving forward,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Evening,Thursday,31-50,Male,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Male,Over 51,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
Evening,Thursday,31-50,Male,Employee,1-2yr,Stationwagen,Owner,Other,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Night,Sunday,Unknown,Male,Owner,5-10yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Morning,Tuesday,18-30,Male,Owner,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,Male,Under 18,3,Employee,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
Morning,Tuesday,Unknown,Male,Owner,Below 1yr,Pick up upto 10 Quintal,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Under 18,3,,,Not a Pedestrian,No distancing,Slight Injury
Evening,Wednesday,Unknown,Male,Owner,5-10yr,Motorcycle,Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Turning,Male,31-50,2,Student,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Night,Saturday,18-30,Male,Employee,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,Female,Under 18,2,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Evening,Sunday,18-30,Male,Employee,Below 1yr,Pick up upto 10 Quintal,Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
Evening,Sunday,18-30,Male,Employee,1-2yr,Motorcycle,Owner, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
Afternoon,Thursday,31-50,Male,Employee,Above 10yr,Stationwagen,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Male,Under 18,2,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Night,Saturday,31-50,Male,Owner,Above 10yr,Lorry (41 - 100 Quintal),Owner,Residential areas,One way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
Night,Saturday,31-50,Male,Employee,Above 10yr,Taxi,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Morning,Saturday,Unknown,Male,Employee,No Licence,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Afternoon,Sunday,31-50,Male,Employee,1-2yr,Long lorry,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving forward,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
Afternoon,Sunday,18-30,Male,Owner,1-2yr,Automobile,Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
Afternoon,Sunday,Under 18,Male,Owner,Below 1yr,Public (12 seats),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Turning,Female,18-30,3,,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No distancing,Slight Injury
Afternoon,Monday,31-50,Male,Owner,1-2yr,Lorry (11 - 40 Quintal),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Afternoon,Monday,18-30,Male,Owner,2-5yr,Pick up upto 10 Quintal,Owner,Office areas,Double carriageway (median),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving backward,Male,18-30,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
Night,Monday,Unknown,Male,Owner,5-10yr,Lorry (41 - 100 Quintal),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
Night,Monday,18-30,Male,Owner,Above 10yr,Other,Organization,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,31-50,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
Morning,Sunday,18-30,Male,Owner,2-5yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,31-50,3,Self-employed,NormalNormal,Not a Pedestrian,Changing lane to the right,Slight Injury
Morning,Sunday,18-30,Male,Owner,Above 10yr,Long lorry,Owner,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
Afternoon,Wednesday,Under 18,Male,Owner,5-10yr,Lorry (11 - 40 Quintal),Governmental,Office areas,One way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,na,na,na,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Serious Injury
Afternoon,Wednesday,18-30,Male,Owner,5-10yr,Long lorry,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Moving forward,Female,18-30,3,Other,Normal,Not a Pedestrian,Changing lane to the right,Serious Injury
