Time,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity,Day
00:00:00,Unknwon,Female,Junior high school,Employee,Above 10yr,Public Transport,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Unknown,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,Female,Under 18,3,Normal,Not a Pedestrian,Overloading,Slight Injury,Sunday
00:00:00,Remaja,Male,Junior high school,Employee,Above 10yr,Public Transport,Governmental,Unknown,Office areas,Two-way (divided with broken lines road marking),Unknown,Crossing,Gravel roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Unknown,Male,Under 18,3,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Sunday
17:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,2-5yrs,Other,Undivided Two way,Unknown,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,unknown,unknown,unknown,Normal,Not a Pedestrian,Improper Parking/Exit,Fatal injury,Thursday
17:00:00,Dewasa,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,2-5yrs,Other,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,Over 51,2,unknown,Not a Pedestrian,Other,Fatal injury,Thursday
15:00:00,Dewasa,Male,Unknown,Employee,Below 1yr,Non-Motorized,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,Male,Under 18,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury,Wednesday
15:00:00,Dewasa,Male,Junior high school,Employee,Below 1yr,Private Vehicle,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Turning,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Serious Injury,Wednesday
08:00:00,Lansia,Male,High school,Employee,2-5yr,Private Vehicle,Owner,Below 1yr,Other,Undivided Two way,Straight,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Female,18-30,3,unknown,Not a Pedestrian,Priority Violation,Slight Injury,Friday
08:00:00,Dewasa,Male,Junior high school,Owner,1-2yr,Private Vehicle,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Straight,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,unknown,unknown,unknown,Normal,Not a Pedestrian,Speeding,Slight Injury,Friday
15:00:00,Dewasa,Unknown,Junior high school,Employee,5-10yr,Other,Governmental,5-10yrs,Other,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Thursday
15:00:00,Dewasa,Male,Elementary school,Employee,2-5yr,Public Transport,Owner,2-5yrs,Other,Double carriageway (median),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving backward,Female,Under 18,3,Normal,Unknown or other,Priority Violation,Slight Injury,Thursday
07:00:00,Dewasa,Female,Elementary school,Owner,5-10yr,Private Vehicle,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury,Thursday
07:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,2-5yrs,Church areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Female,18-30,3,unknown,Not a Pedestrian,No Distance,Serious Injury,Thursday
17:00:00,Dewasa,Unknown,Junior high school,Employee,5-10yr,Private Vehicle,Owner,5-10yrs,Other,Undivided Two way,Straight,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,2,Moving forward,Female,Over 51,2,Normal,Unknown or other,Priority Violation,Slight Injury,Monday
17:00:00,Dewasa,Male,High school,Employee,5-10yr,Public Transport,Organization,2-5yrs,Industrial areas,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Self-accident,2,2,Moving forward,Male,Under 18,3,unknown,Unknown or other,No Distance,Slight Injury,Monday
17:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,Unknown,Residential areas,Double carriageway (median),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,4,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Thursday
17:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Governmental,Above 10yr,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,4,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Other,Slight Injury,Thursday
17:00:00,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,2,4,Moving forward,Male,18-30,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,Thursday
17:00:00,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,Unknown,Industrial areas,Unknown,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,4,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Thursday
17:00:00,Dewasa,Male,Junior high school,Employee,1-2yr,Public Transport,Owner,1-2yr,Industrial areas,Double carriageway (median),Straight,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,3,Moving forward,Female,18-30,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,Friday
17:00:00,Remaja,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,Other,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,3,3,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Friday
17:00:00,Dewasa,Male,Elementary school,Employee,5-10yr,Public Transport,Organization,Above 10yr,Hospital areas,Two-way (divided with broken lines road marking),Straight,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,3,Moving forward,Male,18-30,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Friday
11:00:00,Lansia,Male,Junior high school,Employee,5-10yr,Public Transport,Owner,Unknown,Office areas,One way,Straight,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury,Sunday
11:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,2-5yrs,Church areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,31-50,3,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Sunday
22:00:00,Unknwon,Female,Junior high school,Employee,2-5yr,Private Vehicle,Organization,5-10yrs,Hospital areas,Undivided Two way,Unknown,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,3,4,Moving forward,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Sunday
22:00:00,Lansia,Male,Junior high school,Owner,Above 10yr,Private Vehicle,Owner,Above 10yr,Office areas,other,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,4,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Speeding,Slight Injury,Sunday
22:00:00,Lansia,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Unknown,No junction,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,4,Moving forward,Male,Over 51,3,Normal,Not a Pedestrian,No Distance,Slight Injury,Sunday
22:00:00,Remaja,Male,Elementary school,Other,5-10yr,Public Transport,Owner,1-2yr,Office areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,4,Moving forward,Male,Under 18,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Sunday
22:00:00,Remaja,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Unknown,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,4,Moving forward,Male,Under 18,2,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Sunday
03:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,Unknown,Other,Double carriageway (median),Mountainous,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,1,1,Moving forward,Male,Under 18,3,unknown,Not a Pedestrian,Improper Parking/Exit,Serious Injury,Sunday
23:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,1-2yr,Office areas,Undivided Two way,Straight,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Other,Slight Injury,Monday
23:00:00,Dewasa,Male,Elementary school,Employee,Above 10yr,Private Vehicle,Owner,Unknown,Residential areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Other,Slight Injury,Monday
12:00:00,Dewasa,Unknown,Junior high school,Employee,Below 1yr,Public Transport,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,2,Turning,Male,Under 18,3,Normal,Not a Pedestrian,No Distance,Slight Injury,Monday
12:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Public Transport,Owner,2-5yrs,Office areas,Double carriageway (median),Straight,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,2,Moving backward,Male,18-30,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Monday
11:00:00,Lansia,Male,Elementary school,Employee,1-2yr,Commercial Vehicle,Owner,5-10yrs,Office areas,Undivided Two way,Unknown,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving backward,Male,31-50,3,Normal,Not a Pedestrian,Speeding,Slight Injury,Wednesday
11:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,Unknown,Office areas,other,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,Male,18-30,2,Normal,Crossing from driver's nearside,Priority Violation,Slight Injury,Wednesday
11:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Straight,Crossing,Earth roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Moving backward,unknown,unknown,unknown,unknown,Not a Pedestrian,No Distance,Slight Injury,Wednesday
13:00:00,Dewasa,Male,High school,Owner,2-5yr,Private Vehicle,Owner,Unknown,Church areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Over 51,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Tuesday
13:00:00,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,Unknown,Industrial areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,Female,Under 18,1,Normal,Unknown or other,Driving carelessly,Slight Injury,Tuesday
17:00:00,Dewasa,Unknown,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,1-2yr,Office areas,Double carriageway (median),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,3,unknown,Unknown or other,Unsafe Lane Change,Slight Injury,Monday
17:00:00,Dewasa,Male,Above high school,Owner,2-5yr,Commercial Vehicle,Owner,Unknown,Church areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Female,31-50,3,unknown,Not a Pedestrian,Speeding,Slight Injury,Monday
08:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,Unknown,Office areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Over 51,3,Normal,Not a Pedestrian,Other,Serious Injury,Monday
08:00:00,Dewasa,Male,Elementary school,Owner,2-5yr,Private Vehicle,Owner,Unknown,Office areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,2,1,Unknown,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Serious Injury,Monday
20:00:00,Dewasa,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving forward,Male,18-30,3,Normal,Not a Pedestrian,Speeding,Slight Injury,Saturday
20:00:00,Dewasa,Male,Junior high school,Owner,5-10yr,Other,Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Unknown,Male,18-30,2,Normal,Not a Pedestrian,Unknown,Slight Injury,Saturday
20:00:00,Dewasa,Male,Junior high school,Employee,Below 1yr,Commercial Vehicle,Owner,5-10yrs,Residential areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving forward,Female,18-30,2,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Saturday
07:00:00,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,2-5yrs,Office areas,Double carriageway (median),Straight,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,2,Moving backward,Female,Under 18,1,Normal,Not a Pedestrian,No Distance,Slight Injury,Monday
07:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,2-5yrs,Office areas,Double carriageway (median),Straight,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,2,Moving forward,Male,18-30,3,Normal,Not a Pedestrian,Other,Slight Injury,Monday
17:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,31-50,3,Normal,Unknown or other,Priority Violation,Serious Injury,Friday
17:00:00,Dewasa,Male,Elementary school,Employee,2-5yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Male,Over 51,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury,Friday
07:00:00,Dewasa,Male,Elementary school,Owner,Above 10yr,Commercial Vehicle,Owner,Above 10yr,Residential areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Friday
07:00:00,Dewasa,Unknown,Junior high school,Employee,1-2yr,Private Vehicle,Owner,Unknown,Church areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,2,Turning,Male,31-50,3,unknown,Not a Pedestrian,Speeding,Slight Injury,Friday
07:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Governmental,Unknown,Church areas,Double carriageway (median),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,2,Moving forward,Female,Over 51,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,Friday
23:00:00,Unknwon,Female,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,2-5yrs,Residential areas,Double carriageway (median),Straight,No junction,Other,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Friday
23:00:00,Dewasa,Male,Junior high school,Employee,2-5yr,Public Transport,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Straight,No junction,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Unknown,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Friday
09:00:00,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Straight,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Over 51,2,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Thursday
09:00:00,Lansia,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,Female,18-30,3,unknown,Not a Pedestrian,Moving Backward,Slight Injury,Thursday
17:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,5-10yrs,Church areas,other,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Male,Under 18,3,Normal,Not a Pedestrian,Speeding,Slight Injury,Saturday
17:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Tuesday
17:00:00,Dewasa,Male,Elementary school,Employee,5-10yr,Private Vehicle,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Tuesday
13:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Speeding,Slight Injury,Thursday
13:00:00,Lansia,Male,Junior high school,Employee,2-5yr,Public Transport,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Male,31-50,3,Normal,Not a Pedestrian,Overloading,Slight Injury,Thursday
10:00:00,Dewasa,Male,Elementary school,Employee,5-10yr,Public Transport,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Other,Serious Injury,Tuesday
14:00:00,Dewasa,Unknown,Junior high school,Employee,5-10yr,Other,Governmental,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Earth roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,31-50,3,unknown,Not a Pedestrian,Priority Violation,Slight Injury,Wednesday
14:00:00,Lansia,Male,Junior high school,Employee,Above 10yr,Other,Owner,Below 1yr,Church areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Wednesday
16:00:00,Dewasa,Unknown,Junior high school,Employee,5-10yr,Other,Owner,Unknown,Other,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,18-30,3,Normal,Not a Pedestrian,Moving Backward,Slight Injury,Tuesday
16:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,Unknown,Other,One way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Tuesday
12:00:00,Dewasa,Male,Elementary school,Employee,Below 1yr,Commercial Vehicle,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Turning,Male,Over 51,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Thursday
12:00:00,Dewasa,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,Office areas,One way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,unknown,unknown,unknown,unknown,Not a Pedestrian,No Distance,Slight Injury,Thursday
16:00:00,Dewasa,Male,Elementary school,Employee,1-2yr,Public Transport,Owner,Unknown,Industrial areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Tuesday
16:00:00,Lansia,Male,Elementary school,Employee,5-10yr,Other,Governmental,Unknown,Residential areas,Double carriageway (median),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury,Tuesday
17:00:00,Dewasa,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,Unknown,Office areas,Unknown,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Male,31-50,3,Normal,Unknown or other,No Distance,Serious Injury,Wednesday
15:00:00,Lansia,Male,Elementary school,Employee,2-5yr,Other,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Self-accident,1,1,Moving forward,Male,18-30,2,unknown,Not a Pedestrian,Moving Backward,Slight Injury,Wednesday
09:00:00,Lansia,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,Church areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,Female,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Friday
08:00:00,Dewasa,Male,Junior high school,Employee,5-10yr,Other,Owner,Above 10yr,Industrial areas,Two-way (divided with broken lines road marking),Straight,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Other,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Tuesday
08:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,Unknown,Recreational areas,One way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,Male,18-30,3,Normal,Not a Pedestrian,Moving Backward,Slight Injury,Tuesday
08:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,Unknown,Market areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,3,Moving forward,Male,18-30,3,unknown,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",Improper Parking/Exit,Slight Injury,Tuesday
07:00:00,Dewasa,Male,Elementary school,Employee,Below 1yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,4,Turning,Male,Under 18,3,Normal,Not a Pedestrian,Speeding,Slight Injury,Thursday
07:00:00,Dewasa,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,4,Moving backward,unknown,unknown,unknown,Normal,Not a Pedestrian,Overloading,Slight Injury,Thursday
07:00:00,Dewasa,Male,Elementary school,Owner,5-10yr,Public Transport,Owner,Unknown,Industrial areas,Two-way (divided with broken lines road marking),Straight,No junction,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,4,Moving forward,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Thursday
07:00:00,Dewasa,Male,Elementary school,Employee,2-5yr,Private Vehicle,Governmental,2-5yrs,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,4,Moving forward,Male,Over 51,3,unknown,Not a Pedestrian,Improper Parking/Exit,Slight Injury,Thursday
19:00:00,Dewasa,Unknown,Elementary school,Employee,Above 10yr,Commercial Vehicle,Governmental,Unknown,Office areas,other,Straight,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,1,1,Moving forward,Female,18-30,3,Normal,Not a Pedestrian,Other,Slight Injury,Monday
19:00:00,Dewasa,Male,Elementary school,Employee,2-5yr,Commercial Vehicle,Owner,Unknown,Other,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving backward,Female,Over 51,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury,Wednesday
17:00:00,Dewasa,Male,Junior high school,Employee,Above 10yr,Public Transport,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,6,Moving forward,Female,Under 18,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury,Friday
17:00:00,Dewasa,Male,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,Office areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,6,Moving forward,Male,31-50,2,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Friday
17:00:00,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Organization,Unknown,Other,other,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,6,Moving forward,Female,18-30,2,unknown,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Speeding,Slight Injury,Friday
17:00:00,Dewasa,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Governmental,2-5yrs,Other,other,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,6,Stopping,Female,Over 51,2,Normal,Unknown or other,Unsafe Lane Change,Slight Injury,Friday
17:00:00,Dewasa,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,Other,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,6,Moving forward,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury,Friday
