Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Cause_of_accident,Accident_severity,Day
18:00:00,18-30,Male,Employee,1-2yr,Commercial Vehicle,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Stationary Object Collision,1,1,Moving backward,na,Unsafe Lane Change,Slight Injury,Sunday
09:00:00,Over 51,Male,Employee,1-2yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,3,Speeding,Slight Injury,Friday
09:00:00,31-50,Male,Employee,5-10yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Driving carelessly,Slight Injury,Friday
13:00:00,18-30,Male,Employee,5-10yr,Other,Owner,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle Collision,1,1,Turning,na,Moving Backward,Slight Injury,Friday
00:00:00,Unknown,Male,Employee,5-10yr,Commercial Vehicle,Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,2,No Distance,Slight Injury,Sunday
13:00:00,Unknown,Male,Owner,5-10yr,Private Vehicle,Owner, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,na,Speeding,Slight Injury,Monday
13:00:00,Unknown,Male,Employee,5-10yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,3,Driving carelessly,Slight Injury,Monday
13:00:00,Under 18,Male,Owner,5-10yr,Commercial Vehicle,Owner,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,3,Driving carelessly,Slight Injury,Monday
15:00:00,31-50,Male,Employee,5-10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury,Monday
15:00:00,18-30,Male,Owner,1-2yr,Commercial Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,Driving carelessly,Slight Injury,Monday
17:00:00,Unknown,Female,Employee,2-5yr,Private Vehicle,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,2,1,Moving backward,3,Unsafe Lane Change,Slight Injury,Thursday
17:00:00,31-50,Male,Owner,5-10yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Thursday
17:00:00,31-50,Male,Owner,Above 10yr,Commercial Vehicle,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,1,Moving forward,3,No Distance,Slight Injury,Monday
17:00:00,Unknown,Male,Employee,5-10yr,Public Transport,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,2,No Distance,Slight Injury,Monday
05:00:00,18-30,Male,Owner,2-5yr,Commercial Vehicle,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle Collision,2,2,Moving forward,3,Unsafe Lane Change,Slight Injury,Wednesday
05:00:00,18-30,Male,Employee,5-10yr,Private Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Pedestrian Collision,2,2,Moving backward,3,DUI (Drugs/Alcohol),Slight Injury,Wednesday
17:00:00,31-50,Male,Employee,2-5yr,Private Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Pedestrian Collision,1,1,Moving forward,2,Unsafe Lane Change,Slight Injury,Wednesday
07:00:00,18-30,Male,Employee,5-10yr,Other,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,3,Unsafe Lane Change,Slight Injury,Friday
07:00:00,Unknown,Male,Employee,1-2yr,Private Vehicle,Owner,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,3,Moving Backward,Slight Injury,Friday
18:00:00,18-30,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Tuesday
18:00:00,Unknown,Male,Employee,5-10yr,Public Transport,Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,2,Unsafe Lane Change,Slight Injury,Tuesday
15:00:00,31-50,Male,Employee,Above 10yr,Public Transport,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,2,Moving forward,3,Moving Backward,Slight Injury,Thursday
15:00:00,31-50,Male,Employee,Below 1yr,Other,Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,2,Moving forward,3,No Distance,Slight Injury,Thursday
06:00:00,31-50,Male,Employee,2-5yr,Other,Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Other,na,Unsafe Lane Change,Slight Injury,Tuesday
06:00:00,31-50,Male,Owner,1-2yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Tuesday
20:00:00,Unknown,Male,Owner,5-10yr,Public Transport,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,1,1,Exiting,na,Moving Backward,Slight Injury,Monday
23:00:00,Unknown,Female,Employee,2-5yr,Commercial Vehicle,Owner,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Moving Backward,Slight Injury,Thursday
23:00:00,18-30,Male,Employee,2-5yr,Other,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,2,Speeding,Slight Injury,Thursday
16:00:00,Unknown,Female,Employee,2-5yr,Public Transport,Governmental,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,na,Driving carelessly,Slight Injury,Sunday
15:00:00,31-50,Male,Employee,Above 10yr,Other,Owner, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Saturday
15:00:00,31-50,Male,Employee,2-5yr,Commercial Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,DUI (Drugs/Alcohol),Slight Injury,Saturday
09:00:00,Unknown,Male,Employee,1-2yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,No Distance,Slight Injury,Saturday
22:00:00,31-50,Male,Employee,2-5yr,Other,Owner,Residential areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle Collision,2,1,Moving backward,na,Moving Backward,Slight Injury,Saturday
22:00:00,31-50,Male,Employee,5-10yr,Other,Owner,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Saturday
11:00:00,Over 51,Male,Employee,1-2yr,Commercial Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,3,Unsafe Lane Change,Slight Injury,Friday
11:00:00,18-30,Male,Employee,1-2yr,Private Vehicle,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Friday
15:00:00,Unknown,Male,Employee,2-5yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Speeding,Slight Injury,Thursday
15:00:00,18-30,Male,Employee,Above 10yr,Commercial Vehicle,Organization,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,2,Unsafe Lane Change,Slight Injury,Thursday
18:00:00,Unknown,Male,Employee,Below 1yr,Public Transport,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,na,Priority Violation,Slight Injury,Monday
18:00:00,18-30,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,No Distance,Slight Injury,Monday
22:00:00,31-50,Male,Owner,5-10yr,Commercial Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving backward,3,Unsafe Lane Change,Slight Injury,Tuesday
22:00:00,18-30,Male,Employee,Above 10yr,Commercial Vehicle,Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,No Distance,Slight Injury,Tuesday
22:00:00,Under 18,Male,Employee,1-2yr,Public Transport,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Friday
22:00:00,Unknown,Male,Employee,5-10yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,1,Moving forward,3,No Distance,Slight Injury,Friday
19:00:00,31-50,Male,Owner,5-10yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Thursday
19:00:00,31-50,Male,Employee,2-5yr,Commercial Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle Collision,2,1,Moving forward,3,Driving carelessly,Slight Injury,Thursday
17:00:00,Over 51,Male,Employee,5-10yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
17:00:00,18-30,Male,Employee,5-10yr,Commercial Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,3,Priority Violation,Slight Injury,Sunday
03:00:00,31-50,Male,Owner,1-2yr,Non-Motorized,Owner,  Recreational areas,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,2,No Distance,Serious Injury,Friday
03:00:00,31-50,Male,Employee,1-2yr,Private Vehicle,Governmental,Office areas,other,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Priority Violation,Serious Injury,Friday
02:00:00,31-50,Male,Employee,1-2yr,Private Vehicle,Owner, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle Collision,1,1,Moving forward,na,Priority Violation,Slight Injury,Saturday
08:00:00,31-50,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Wet or damp,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,Priority Violation,Slight Injury,Sunday
07:00:00,18-30,Male,Employee,1-2yr,Other,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Other,3,Unsafe Lane Change,Slight Injury,Tuesday
07:00:00,Unknown,Male,Owner,Above 10yr,Commercial Vehicle,Governmental,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Tuesday
16:00:00,18-30,Male,Employee,Above 10yr,Commercial Vehicle,Owner, Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Monday
16:00:00,31-50,Male,Employee,1-2yr,Commercial Vehicle,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,2,Priority Violation,Slight Injury,Monday
09:00:00,31-50,Male,Employee,1-2yr,Private Vehicle,Owner,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving forward,3,No Distance,Slight Injury,Tuesday
15:00:00,Over 51,Male,Employee,2-5yr,Public Transport,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,1,Moving forward,3,No Distance,Slight Injury,Tuesday
05:00:00,31-50,Male,Employee,2-5yr,Private Vehicle,Owner,Office areas,Double carriageway (median),Escarpments,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,2,Unsafe Lane Change,Slight Injury,Thursday
05:00:00,18-30,Male,Employee,1-2yr,Public Transport,Owner,Office areas,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving backward,3,Unsafe Lane Change,Slight Injury,Thursday
20:00:00,Under 18,Male,Employee,5-10yr,Commercial Vehicle,Owner,Office areas,Undivided Two way,Escarpments,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,na,No Distance,Slight Injury,Thursday
20:00:00,31-50,Male,Employee,5-10yr,Private Vehicle,Owner,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,2,1,Moving forward,3,Reckless Driving,Slight Injury,Thursday
20:00:00,31-50,Male,Employee,1-2yr,Commercial Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,1,1,Moving forward,2,Priority Violation,Slight Injury,Thursday
00:00:00,31-50,Male,Other,5-10yr,Commercial Vehicle,Owner,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,Moving Backward,Slight Injury,Friday
00:00:00,31-50,Male,Employee,2-5yr,Commercial Vehicle,Owner,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,DUI (Drugs/Alcohol),Slight Injury,Friday
02:00:00,Unknown,Male,Employee,5-10yr,Other,Owner,Residential areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,3,5,Moving forward,3,Moving Backward,Slight Injury,Sunday
02:00:00,Over 51,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,5,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
02:00:00,Over 51,Male,Employee,Above 10yr,Private Vehicle,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,5,Moving forward,3,Speeding,Slight Injury,Sunday
02:00:00,Over 51,Male,Owner,2-5yr,Commercial Vehicle,Owner,  Recreational areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,5,Moving forward,2,DUI (Drugs/Alcohol),Slight Injury,Sunday
02:00:00,Over 51,Male,Employee,5-10yr,Public Transport,Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,5,Moving forward,3,Driving carelessly,Slight Injury,Sunday
02:00:00,Unknown,Female,Owner,1-2yr,Private Vehicle,Owner,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,3,5,Moving forward,3,No Distance,Slight Injury,Sunday
14:00:00,31-50,Male,Employee,Above 10yr,Commercial Vehicle,Owner,Residential areas,other,Tangent road with rolling terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,2,Priority Violation,Slight Injury,Saturday
14:00:00,18-30,Male,Employee,5-10yr,Commercial Vehicle,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Other,3,Speeding,Slight Injury,Saturday
16:00:00,18-30,Male,Employee,2-5yr,Commercial Vehicle,Owner,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,DUI (Drugs/Alcohol),Slight Injury,Saturday
16:00:00,Unknown,Male,Employee,Above 10yr,Private Vehicle,Owner,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Saturday
11:00:00,18-30,Male,Employee,2-5yr,Private Vehicle,Owner, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
11:00:00,31-50,Male,Employee,Above 10yr,Private Vehicle,Owner,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
19:00:00,Over 51,Male,Employee,Above 10yr,Public Transport,Governmental,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights unlit,Raining,Stationary Object Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
19:00:00,Under 18,Male,Employee,2-5yr,Public Transport,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights unlit,Raining,Stationary Object Collision,2,1,Moving forward,na,Moving Backward,Slight Injury,Sunday
17:00:00,18-30,Male,Employee,Above 10yr,Other,Governmental,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Monday
17:00:00,Unknown,Male,Employee,Above 10yr,Private Vehicle,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle Collision,2,1,Other,1,Speeding,Slight Injury,Monday
03:00:00,18-30,Male,Employee,Below 1yr,Private Vehicle,Owner,Rural village areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,na,No Distance,Slight Injury,Saturday
03:00:00,Unknown,Male,Owner,Above 10yr,Public Transport,Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,2,Driving carelessly,Slight Injury,Saturday
16:00:00,Over 51,Male,Other,Above 10yr,Public Transport,Owner,Residential areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,na,No Distance,Slight Injury,Tuesday
08:00:00,31-50,Male,Employee,5-10yr,Private Vehicle,Owner,Residential areas,other,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Tuesday
08:00:00,Unknown,Male,Employee,5-10yr,Other,Owner, Outside rural areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Tuesday
17:00:00,31-50,Male,Employee,5-10yr,Commercial Vehicle,Owner,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,1,1,Moving forward,2,Unsafe Lane Change,Slight Injury,Wednesday
21:00:00,Unknown,Female,Employee,5-10yr,Commercial Vehicle,Owner, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,na,No Distance,Slight Injury,Thursday
01:00:00,Under 18,Male,Owner,Below 1yr,Private Vehicle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,1,Moving forward,3,Priority Violation,Slight Injury,Friday
01:00:00,Unknown,Male,Employee,5-10yr,Private Vehicle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Friday
12:00:00,Under 18,Male,Employee,2-5yr,Commercial Vehicle,Governmental,Office areas,Two-way (divided with broken lines road marking),Escarpments,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,1,2,Moving backward,3,Moving Backward,Slight Injury,Sunday
12:00:00,Under 18,Male,Owner,2-5yr,Private Vehicle,Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,2,Moving forward,na,Driving carelessly,Slight Injury,Sunday
20:00:00,Under 18,Male,Employee,2-5yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Unsafe Lane Change,Slight Injury,Sunday
20:00:00,Unknown,Female,Owner,2-5yr,Private Vehicle,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,Priority Violation,Slight Injury,Sunday
18:00:00,Over 51,Male,Employee,Above 10yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,3,No Distance,Slight Injury,Tuesday
18:00:00,Unknown,Male,Employee,2-5yr,Private Vehicle,Owner,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving backward,na,No Distance,Slight Injury,Tuesday
01:00:00,Unknown,Male,Employee,1-2yr,Private Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,4,1,Moving forward,3,Reckless Driving,Slight Injury,Saturday
01:00:00,18-30,Male,Employee,2-5yr,Commercial Vehicle,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,4,1,Other,3,No Distance,Slight Injury,Saturday
01:00:00,18-30,Male,Employee,1-2yr,Other,Owner,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,4,1,Other,na,DUI (Drugs/Alcohol),Slight Injury,Saturday
01:00:00,Unknown,Male,Employee,5-10yr,Commercial Vehicle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Gravel roads,Dry,Darkness - lights lit,Normal,Animal Collision,4,1,Moving forward,3,Moving Backward,Slight Injury,Saturday
10:00:00,Over 51,Male,Employee,5-10yr,Private Vehicle,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Animal Collision,1,1,Moving forward,3,Priority Violation,Slight Injury,Monday
21:00:00,31-50,Male,Owner,2-5yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,1,1,Moving forward,na,Unsafe Lane Change,Slight Injury,Monday
17:00:00,31-50,Male,Employee,Below 1yr,Commercial Vehicle,Organization, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,1,2,Moving forward,na,Unsafe Lane Change,Slight Injury,Wednesday
17:00:00,31-50,Male,Employee,5-10yr,Private Vehicle,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Animal Collision,1,2,Other,3,Improper Parking/Exit,Slight Injury,Wednesday
