Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
14:56:00,Wednesday,Dewasa,Male,Junior high school,Owner,5-10yr,Other,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
9:40:00,Sunday,Dewasa,Male,Above high school,Employee,5-10yr,Private Vehicle,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
9:40:00,Sunday,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,Unknown,,Other,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
9:40:00,Sunday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,5-10yrs,No defect, Church areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
10:15:00,Tuesday,Lansia,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,5-10yrs,No defect, Church areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Reckless Driving,Serious Injury
14:15:00,Saturday,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,Under 18,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
14:15:00,Saturday,Dewasa,Male,Junior high school,Employee,Below 1yr,Other,Owner,,No defect,Other,One way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Female,Under 18,3,Normal,Not a Pedestrian,No Distance,Slight Injury
11:40:00,Saturday,Dewasa,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Governmental,2-5yrs,,  Recreational areas,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
11:40:00,Saturday,Lansia,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,2-5yrs,,Other,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Male,18-30,2,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
12:44:00,Sunday,Dewasa,Male,Above high school,Employee,5-10yr,Other,Owner,5-10yrs,,Office areas,Undivided Two way,Straight,No junction,Other,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Male,18-30,2,Normal,Not a Pedestrian,Priority Violation,Serious Injury
16:22:00,Friday,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
16:22:00,Friday,Dewasa,Unknown,Elementary school,Owner,Below 1yr,Private Vehicle,Owner,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Female,Over 51,3,unknown,Not a Pedestrian,No Distance,Slight Injury
13:15:00,Friday,Dewasa,Male,,,,Commercial Vehicle,,,No defect,Office areas,Undivided Two way,,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Male,Over 51,3,unknown,Not a Pedestrian,Moving Backward,Slight Injury
13:15:00,Friday,Dewasa,Male,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,2-5yrs,No defect,Other,Undivided Two way,Straight,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Moving Backward,Slight Injury
9:06:00,Tuesday,Dewasa,Male,Junior high school,,,Private Vehicle,Governmental,,,Residential areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Female,31-50,3,Normal,Not a Pedestrian,No Distance,Slight Injury
9:06:00,Tuesday,Dewasa,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Male,Over 51,2,unknown,Not a Pedestrian,No Distance,Slight Injury
22:30:00,Friday,Remaja,Male,Junior high school,Owner,2-5yr,Private Vehicle,Owner,2-5yrs,,Residential areas,other,Straight,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,1,2,Unknown,Male,Under 18,3,unknown,Not a Pedestrian,No Distance,Slight Injury
22:30:00,Friday,Remaja,Male,,Employee,unknown,Special Vehicle,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Straight,No junction,Other,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,2,Going straight,Male,18-30,3,Normal,Crossing from driver's nearside,Priority Violation,Slight Injury
9:25:00,Wednesday,Remaja,Unknown,Junior high school,Employee,Above 10yr,Private Vehicle,Owner,,No defect,Other,Double carriageway (median),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
9:25:00,Wednesday,Dewasa,Male,Junior high school,Owner,2-5yr,Private Vehicle,Owner,,No defect, Hospital areas,One way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
8:20:00,Friday,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Governmental,,No defect,Other,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
8:20:00,Friday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,,No defect,Other,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
17:25:00,Wednesday,Dewasa,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,,No defect,  Recreational areas,One way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
17:25:00,Wednesday,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,,No defect,Other,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury
10:05:00,Thursday,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,,No defect,Other,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Male,Over 51,3,Normal,Not a Pedestrian,Other,Slight Injury
10:05:00,Thursday,Lansia,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,,No defect,Other,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,Under 18,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
16:00:00,Monday,Dewasa,Male,Above high school,Owner,5-10yr,Private Vehicle,Owner,Below 1yr,No defect,Office areas,Two-way (divided with broken lines road marking),Straight,No junction,,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Serious Injury
16:00:00,Monday,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Straight,No junction,Other,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,Male,18-30,3,unknown,Not a Pedestrian,No Distance,Serious Injury
16:00:00,Tuesday,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Reversing,unknown,unknown,unknown,unknown,Not a Pedestrian,No Distance,Slight Injury
17:30:00,Thursday,Dewasa,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,5-10yrs,No defect,Other,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Reversing,Male,31-50,3,Normal,Not a Pedestrian,Reckless Driving,Slight Injury
17:30:00,Thursday,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,Unknown,No defect,Other,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Reversing,Male,Over 51,3,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Speeding,Slight Injury
17:30:00,Thursday,Dewasa,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,,, Church areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Moving Backward,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
17:30:00,Thursday,Dewasa,Male,Junior high school,Owner,2-5yr,Private Vehicle,Owner,1-2yr,5,Office areas,Undivided Two way,Straight,Y Shape,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Female,Over 51,3,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Priority Violation,Slight Injury
14:20:00,Friday,Dewasa,Male,High school,Owner,2-5yr,Private Vehicle,Owner,Above 10yr,No defect,School areas,other,Straight,Y Shape,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
14:20:00,Friday,Dewasa,Male,,Employee,,Public Transport,Owner,2-5yrs,No defect,Other,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,Over 51,3,Normal,Not a Pedestrian,Other,Slight Injury
18:40:00,Friday,Remaja,Male,Junior high school,Owner,1-2yr,Private Vehicle,Owner,1-2yr,No defect,Office areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Other,Slight Injury
18:40:00,Friday,Lansia,Male,Junior high school,,Below 1yr,Public Transport,Owner,1-2yr,No defect,Residential areas,other,Mountainous,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Moving Backward,Slight Injury
18:40:00,Friday,Dewasa,Male,High school,Employee,1-2yr,Public Transport,Owner,1-2yr,No defect, Industrial areas,One way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury
11:30:00,Saturday,Dewasa,Male,Above high school,Employee,1-2yr,Private Vehicle,Owner,2-5yrs,No defect,Other,Undivided Two way,Straight,No junction,Earth roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Moving Backward,Fatal injury
22:15:00,Friday,Dewasa,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,1-2yr,No defect,Residential areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
22:15:00,Friday,Dewasa,Male,High school,Employee,1-2yr,Private Vehicle,Owner,1-2yr,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
21:50:00,Tuesday,Lansia,Male,Junior high school,Employee,2-5yr,Commercial Vehicle,Owner,Unknown,7,Office areas,other,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,Male,Over 51,3,Normal,Not a Pedestrian,No Distance,Slight Injury
21:50:00,Tuesday,Dewasa,Male,Above high school,Other,2-5yr,Other,Owner,,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Female,18-30,3,Normal,Not a Pedestrian,Other,Slight Injury
14:50:00,Tuesday,Dewasa,Male,High school,Employee,Above 10yr,Commercial Vehicle,Owner,1-2yr,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Female,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
14:50:00,Tuesday,Dewasa,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,1-2yr,No defect, Outside rural areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Female,Under 18,3,Normal,Not a Pedestrian,No Distance,Slight Injury
14:00:00,Thursday,Lansia,Male,High school,Employee,1-2yr,Private Vehicle,Governmental,Below 1yr,No defect, Outside rural areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Male,Under 18,3,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury
15:05:00,Monday,Dewasa,Male,High school,Employee,5-10yr,Commercial Vehicle,Owner,,No defect, Outside rural areas,other,Mountainous,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,unknown,unknown,unknown,Normal,Not a Pedestrian,No Distance,Slight Injury
15:05:00,Monday,Remaja,Male,High school,Employee,2-5yr,Commercial Vehicle,Owner,,No defect,School areas,other,Mountainous,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury
8:20:00,Thursday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,Above 10yr,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
8:20:00,Thursday,Dewasa,Male,Above high school,Employee,Above 10yr,Private Vehicle,Owner,,No defect, Outside rural areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Waiting to go,Male,31-50,3,Normal,Not a Pedestrian,Priority Violation,Slight Injury
19:32:00,Tuesday,Dewasa,Male,Above high school,Employee,2-5yr,Private Vehicle,Owner,,No defect, Outside rural areas,Two-way (divided with broken lines road marking),,No junction,Gravel roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Moving Backward,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
19:32:00,Tuesday,Dewasa,Male,Elementary school,Employee,5-10yr,Other,Owner,2-5yrs,No defect, Outside rural areas,Two-way (divided with broken lines road marking),,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Moving Backward,Male,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
19:32:00,Tuesday,Dewasa,Male,Elementary school,Employee,1-2yr,Other,Owner,2-5yrs,No defect,Office areas,Undivided Two way,,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Going straight,Female,Over 51,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
12:37:00,Friday,Lansia,Male,Junior high school,Employee,,Private Vehicle,Owner,2-5yrs,No defect, Outside rural areas,Undivided Two way,,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Male,Over 51,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
12:37:00,Friday,Dewasa,Male,,,,Public Transport,Owner,,No defect, Outside rural areas,Undivided Two way,,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Driving carelessly,Serious Injury
17:30:00,Tuesday,Dewasa,Male,Elementary school,Employee,5-10yr,Other,Owner,2-5yrs,No defect, Outside rural areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
17:30:00,Tuesday,Lansia,Male,Junior high school,Employee,2-5yr,Public Transport,Owner,,No defect,Office areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Female,Over 51,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
11:49:00,Saturday,Lansia,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,,No defect,  Recreational areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Female,Over 51,3,unknown,Not a Pedestrian,Priority Violation,Slight Injury
11:49:00,Saturday,Dewasa,Male,High school,Employee,2-5yr,Private Vehicle,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Driving carelessly,Slight Injury
14:10:00,Thursday,Lansia,Male,Junior high school,Employee,1-2yr,Other,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
14:10:00,Thursday,Lansia,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Moving Backward,Slight Injury
16:11:00,Wednesday,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,Above 10yr,No defect,Residential areas,other,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Driving carelessly,Slight Injury
16:11:00,Wednesday,Dewasa,Male,Illiterate,Employee,unknown,Private Vehicle,Owner,,No defect,Residential areas,Undivided Two way,Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Female,Under 18,3,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
15:40:00,Friday,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,Above 10yr,No defect,Other,Undivided Two way,Straight,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,unknown,unknown,unknown,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
15:40:00,Friday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Straight,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Male,31-50,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
15:40:00,Friday,Dewasa,Male,Junior high school,Employee,2-5yr,Other,Owner,,,Other,Two-way (divided with broken lines road marking),Straight,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Female,31-50,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
17:10:00,Wednesday,Dewasa,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,Above 10yr,,Other,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,Over 51,2,Normal,Unknown or other,Unsafe Lane Change,Slight Injury
17:10:00,Wednesday,Remaja,Male,Junior high school,Owner,5-10yr,Commercial Vehicle,Owner,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
12:45:00,Saturday,Dewasa,Male,High school,Employee,1-2yr,Private Vehicle,Owner,Below 1yr,, Church areas,other,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Male,Over 51,3,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:45:00,Saturday,Dewasa,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Female,Over 51,3,unknown,Not a Pedestrian,Speeding,Slight Injury
12:45:00,Saturday,Dewasa,Male,Junior high school,Employee,1-2yr,Private Vehicle,Owner,,,Other,One way,Straight,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,unknown,unknown,unknown,unknown,Not a Pedestrian,Unsafe Lane Change,Slight Injury
16:10:00,Tuesday,Dewasa,Male,Junior high school,Employee,2-5yr,Public Transport,Owner,,,Office areas,Double carriageway (median),Straight,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Male,Under 18,3,unknown,Unknown or other,No Distance,Slight Injury
8:40:00,Thursday,Unknwon,Male,Junior high school,Employee,Above 10yr,Commercial Vehicle,Owner,,,Office areas,One way,Straight,No junction,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Waiting to go,Female,Under 18,3,unknown,Not a Pedestrian,Other,Slight Injury
8:40:00,Thursday,Dewasa,Male,Junior high school,Employee,2-5yr,Public Transport,Owner,,,Office areas,Undivided Two way,Straight,No junction,,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Male,18-30,2,unknown,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Unsafe Lane Change,Slight Injury
17:03:00,Friday,Dewasa,Male,Elementary school,Employee,5-10yr,Other,Owner,,No defect,Office areas,Double carriageway (median),Straight,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Fatal injury
17:35:00,Monday,Dewasa,Male,,,,Commercial Vehicle,Owner,Unknown,,,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,Under 18,3,Normal,Not a Pedestrian,Speeding,Serious Injury
17:35:00,Monday,Dewasa,Male,Elementary school,Employee,1-2yr,Commercial Vehicle,Owner,Below 1yr,,Office areas,Undivided Two way,Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Other,Serious Injury
14:54:00,Saturday,Dewasa,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Male,18-30,3,Normal,Not a Pedestrian,Unsafe Lane Change,Serious Injury
9:10:00,Thursday,Dewasa,Male,Elementary school,Employee,5-10yr,Commercial Vehicle,Owner,,,Other,Double carriageway (median),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Male,Under 18,3,Normal,Not a Pedestrian,Speeding,Slight Injury
9:10:00,Thursday,Dewasa,Male,Junior high school,Employee,1-2yr,Commercial Vehicle,Governmental,Unknown,,Other,Two-way (divided with broken lines road marking),Straight,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Priority Violation,Slight Injury
7:30:00,Tuesday,Lansia,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,,,Office areas,Two-way (divided with broken lines road marking),Straight,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Male,18-30,3,unknown,Not a Pedestrian,Moving Backward,Slight Injury
12:32:00,Sunday,Dewasa,Male,Junior high school,Employee,5-10yr,Commercial Vehicle,Owner,,,Office areas,Two-way (divided with broken lines road marking),Straight,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Other,Slight Injury
12:32:00,Sunday,Dewasa,Male,Junior high school,Employee,2-5yr,Private Vehicle,Owner,,,Office areas,Two-way (divided with broken lines road marking),Straight,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Male,18-30,3,unknown,Not a Pedestrian,Priority Violation,Slight Injury
12:32:00,Sunday,Dewasa,Male,Junior high school,Employee,1-2yr,Other,Governmental,,No defect,Office areas,Two-way (divided with broken lines road marking),Straight,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Male,Over 51,3,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Priority Violation,Slight Injury
18:24:00,Monday,Dewasa,Male,Junior high school,Employee,5-10yr,Private Vehicle,Owner,2-5yrs,, Church areas,Undivided Two way,Straight,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,unknown,unknown,unknown,Normal,Not a Pedestrian,Unsafe Lane Change,Slight Injury
