Time,Day,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
17:00:00,Friday,18-30,Male,Employee,Above 10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,3,1,Moving forward,Male,Under 18,3,Driver,Normal,"Walking along in carriageway, facing traffic",No priority to vehicle,Slight Injury
09:00:00,Friday,31-50,Male,Employee,Below 1yr,Automobile,Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
09:00:00,Friday,18-30,Unknown,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,2,1,Moving forward,Male,Under 18,2,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
16:00:00,Wednesday,31-50,Male,Owner,1-2yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,1,1,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
18:00:00,Sunday,Unknown,Female,Owner,5-10yr,Lorry (41 - 100 Quintal),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
13:00:00,Sunday,Over 51,Male,Employee,2-5yr,Public (> 45 seats),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,3,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
13:00:00,Sunday,18-30,Male,Employee,2-5yr,Automobile,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,3,3,Moving forward,Male,Over 51,3,,,Not a Pedestrian,No distancing,Slight Injury
13:00:00,Sunday,18-30,Male,Employee,2-5yr,Automobile,Governmental,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,3,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
13:00:00,Sunday,18-30,Male,Employee,Above 10yr,Automobile,Owner, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,3,Moving forward,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
19:00:00,Sunday,Unknown,Female,Employee,2-5yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,na,na,na,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
19:00:00,Sunday,31-50,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Stationary Object Collision,2,2,Turning,Female,31-50,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
19:00:00,Sunday,31-50,Male,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,Residential areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving backward,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
11:00:00,Saturday,31-50,Male,Employee,5-10yr,Automobile,Owner,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Moving backward,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
12:00:00,Sunday,31-50,Unknown,Employee,1-2yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Other,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:00:00,Sunday,18-30,Male,Employee,1-2yr,Public (12 seats),Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving backward,Male,Over 51,3,Employee,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:00:00,Sunday,18-30,Male,Employee,2-5yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
20:00:00,Friday,18-30,Male,Employee,Above 10yr,Automobile,Organization,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,Female,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
20:00:00,Friday,31-50,Unknown,Employee,Below 1yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,1,Moving forward,Female,Under 18,3,Employee,Normal,Not a Pedestrian,No distancing,Slight Injury
12:00:00,Tuesday,Under 18,Male,Employee,Above 10yr,Public (12 seats),Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Stationary Object Collision,2,1,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
12:00:00,Tuesday,18-30,Male,Owner,5-10yr,Lorry (41 - 100 Quintal),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Vehicle Collision,2,1,Moving forward,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
08:00:00,Thursday,31-50,Male,Employee,Above 10yr,Automobile,Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Unknown,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
08:00:00,Thursday,18-30,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,18-30,2,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
08:00:00,Tuesday,18-30,Male,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,1,1,Unknown,Male,Under 18,3,Driver,Normal,Crossing from driver's nearside,Driving carelessly,Serious Injury
15:00:00,Tuesday,31-50,Male,Owner,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
15:00:00,Tuesday,31-50,Male,Employee,2-5yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18:00:00,Sunday,18-30,Male,Employee,5-10yr,Automobile,Owner, Church areas,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
18:00:00,Sunday,Over 51,Male,Employee,5-10yr,Automobile,Owner,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Female,31-50,3,Employee,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
09:00:00,Monday,Over 51,Male,Owner,1-2yr,Automobile,Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Self-accident,2,1,Moving backward,Female,Under 18,3,,,Not a Pedestrian,No distancing,Slight Injury
09:00:00,Monday,Over 51,Male,Employee,1-2yr,Stationwagen,Owner,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
20:00:00,Wednesday,31-50,Unknown,Employee,1-2yr,Automobile,Governmental,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Turning,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
09:00:00,Monday,31-50,Male,Employee,Above 10yr,Other,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,Female,31-50,3,Driver,Normal,Crossing from driver's nearside,Changing lane to the left,Slight Injury
09:00:00,Monday,31-50,Male,Employee,1-2yr,Other,Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
09:00:00,Monday,Unknown,Female,Owner,Above 10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Unknown,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
20:00:00,Wednesday,Over 51,Male,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle Collision,1,1,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward,Fatal injury
11:00:00,Tuesday,18-30,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Gravel roads,Wet or damp,Daylight,Normal,Vehicle Collision,4,6,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Serious Injury
11:00:00,Tuesday,18-30,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,4,6,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
11:00:00,Tuesday,Under 18,Male,Employee,2-5yr,Automobile,Organization, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Stationary Object Collision,4,6,Moving forward,Male,31-50,3,,,Not a Pedestrian,No priority to vehicle,Serious Injury
11:00:00,Tuesday,Under 18,Male,Employee,2-5yr,Automobile,Organization,Other,Undivided Two way,Tangent road with mountainous terrain and,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,4,6,Moving backward,Male,18-30,3,Self-employed,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Serious Injury
11:00:00,Tuesday,Under 18,Male,Employee,1-2yr,Public (13 - 45 seats),Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,4,6,Moving forward,Male,Over 51,2,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
11:00:00,Tuesday,31-50,Male,Employee,5-10yr,Public (13 - 45 seats),Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,4,6,Moving backward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
11:00:00,Tuesday,18-30,Male,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,4,6,Moving forward,Male,31-50,3,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury
14:00:00,Saturday,31-50,Male,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,na,na,na,Other,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
14:00:00,Saturday,18-30,Male,Other,5-10yr,Public (12 seats),Owner,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,Male,18-30,3,Employee,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
20:00:00,Friday,Over 51,Male,Employee,2-5yr,Other,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,5,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
20:00:00,Friday,Over 51,Male,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner, Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,5,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
20:00:00,Friday,Over 51,Male,Employee,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,5,Turning,Female,31-50,3,Driver,Normal,Not a Pedestrian,No distancing,Serious Injury
20:00:00,Friday,Over 51,Male,Employee,Above 10yr,Other,Owner,Other,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Self-accident,3,5,Moving forward,na,na,na,,,Not a Pedestrian,Changing lane to the right,Serious Injury
20:00:00,Friday,Over 51,Male,Owner,2-5yr,Motorcycle,Owner,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,5,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Serious Injury
20:00:00,Friday,18-30,Female,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,3,5,Moving backward,Female,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Serious Injury
19:00:00,Friday,18-30,Male,Owner,1-2yr,Automobile,Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Pedestrian Collision,2,2,Moving forward,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Slight Injury
19:00:00,Friday,18-30,Male,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,2,2,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
23:00:00,Saturday,Over 51,Male,Employee,5-10yr,Automobile,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Moving forward,Male,Over 51,2,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overtaking,Serious Injury
18:00:00,Thursday,31-50,Male,Employee,2-5yr,Public (> 45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle Collision,1,1,Other,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
13:00:00,Monday,Over 51,Male,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,1,Moving forward,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
13:00:00,Monday,18-30,Male,Employee,2-5yr,Public (> 45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
08:00:00,Sunday,31-50,Male,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Pedestrian Collision,2,1,Turning,na,na,na,Self-employed,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
08:00:00,Sunday,Unknown,Female,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
08:00:00,Monday,Under 18,Male,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
08:00:00,Monday,18-30,Male,Employee,Above 10yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:00:00,Saturday,18-30,Unknown,Employee,Above 10yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:00:00,Saturday,31-50,Male,Employee,Below 1yr,Stationwagen,Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
16:00:00,Saturday,18-30,Male,Owner,Above 10yr,Lorry (41 - 100 Quintal),Owner, Church areas,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Male,Under 18,3,,,Not a Pedestrian,Driving under the influence of drugs,Slight Injury
16:00:00,Saturday,Under 18,Male,Other,Above 10yr,Automobile,Owner,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
10:00:00,Wednesday,Over 51,Unknown,Employee,5-10yr,Pick up upto 10 Quintal,Owner,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle Collision,1,1,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
12:00:00,Monday,18-30,Male,Employee,5-10yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,3,1,Stopping,na,na,na,,,Not a Pedestrian,Moving Backward,Slight Injury
12:00:00,Monday,18-30,Female,Employee,5-10yr,Public (13 - 45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
12:00:00,Monday,18-30,Male,Employee,5-10yr,Public (> 45 seats),Governmental, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,1,Moving forward,Male,18-30,2,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
15:00:00,Sunday,31-50,Male,Owner,Below 1yr,Stationwagen,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Unknown,Female,Over 51,1,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
15:00:00,Sunday,Over 51,Male,Employee,5-10yr,Automobile,Owner,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,3,Moving forward,Female,Over 51,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
15:00:00,Sunday,Over 51,Male,Employee,2-5yr,Lorry (41 - 100 Quintal),Owner,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,2,3,Moving forward,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
14:00:00,Sunday,31-50,Male,Owner,2-5yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Pedestrian Collision,1,1,Stopping,Male,Under 18,3,Employee,Normal,Not a Pedestrian,Driving to the left,Serious Injury
17:00:00,Tuesday,Over 51,Male,Employee,2-5yr,Lorry (41 - 100 Quintal),Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
17:00:00,Tuesday,Under 18,Male,Owner,2-5yr,Public (12 seats),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
10:00:00,Tuesday,31-50,Male,Employee,Above 10yr,Lorry (41 - 100 Quintal),Owner, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving forward,Female,31-50,3,,,Not a Pedestrian,Overtaking,Slight Injury
10:00:00,Tuesday,Over 51,Male,Employee,2-5yr,Other,Owner,Other,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving backward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
14:00:00,Monday,31-50,Male,Employee,1-2yr,Stationwagen,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving forward,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
14:00:00,Monday,Over 51,Male,Employee,2-5yr,Automobile,Organization,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Moving forward,Male,18-30,3,Driver,Normal,Unknown or other,Driving under the influence of drugs,Slight Injury
14:00:00,Monday,Unknown,Female,Employee,1-2yr,Public (> 45 seats),Governmental,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,3,2,Unknown,Female,18-30,2,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
13:00:00,Saturday,18-30,Male,Employee,5-10yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Stationary Object Collision,2,3,Moving forward,Female,18-30,3,,,Not a Pedestrian,Moving Backward,Slight Injury
13:00:00,Saturday,18-30,Male,Employee,5-10yr,Lorry (41 - 100 Quintal),Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,3,Moving backward,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
13:00:00,Saturday,Unknown,Female,Owner,2-5yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle Collision,2,3,Moving forward,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
08:00:00,Wednesday,Unknown,Female,Employee,Below 1yr,Public (> 45 seats),Governmental,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,2,1,Moving backward,Male,31-50,3,,,Not a Pedestrian,No distancing,Slight Injury
08:00:00,Wednesday,18-30,Male,Employee,5-10yr,Automobile,Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,2,1,Moving forward,Female,Under 18,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Driving at high speed,Slight Injury
12:00:00,Sunday,18-30,Male,Employee,Above 10yr,Automobile,Organization,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Stationary Object Collision,4,1,Moving forward,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
12:00:00,Sunday,18-30,Male,Employee,1-2yr,Pick up upto 10 Quintal,Owner,Other,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,4,1,Unknown,Male,Over 51,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
12:00:00,Sunday,Unknown,Female,Owner,5-10yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,4,1,Moving forward,Female,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
12:00:00,Sunday,Unknown,Female,Employee,1-2yr,Lorry (41 - 100 Quintal),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle Collision,4,1,Moving forward,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Turnover,Slight Injury
